,day,weight_after,weight_before,contents,time,moisture,tenki,shitsudo
0,2019-07-03,60.0,59.0,Twitter,1.0,1.0,1,10.0
1,2019-07-03,60.0,59.0,Twitter,1.0,1.0,1,10.0
2,2019-07-03,60.0,59.0,Twitter,2.0,2.0,2,20.0
3,2019-07-03,60.0,59.0,Twitter,1.0,1.0,1,10.0
4,2019-07-03,60.0,59.0,Twitter,1.0,1.0,1,10.0
5,2019-07-03,60.0,50.0,Twitter,1.0,1.0,1,10.0
6,2019-07-03,60.0,59.0,Twitter,5.0,0.5,1,40.0
7,2019-07-03,59.0,58.0,Twitter,3.0,3.0,2,20.0
8,2019-07-06,60.0,60.0,腕立て,1.0,0.5,1,3.0
9,2019-07-06,60.0,60.0,腕立て,1.0,0.5,1,3.0
10,2019-07-06,60.0,60.0,腕立て,1.0,0.5,1,3.0
11,2019-07-06,60.0,60.0,Twitter,1.0,0.5,1,3.0
12,2019-07-06,60.0,60.0,Twitter,1.0,0.5,1,3.0
13,2019-07-06,60.0,60.0,Twitter,1.0,0.5,1,3.0
14,2019-07-06,60.0,60.0,Twitter,1.0,0.5,1,3.0
15,2019-07-06,60.0,60.0,Twitter,1.0,0.5,1,3.0
